subject,selfish_FP_PO,selfish_TP_PO,selfish_FP_NE,selfish_TP_NE,equity_FP_PO,equity_TP_PO,equity_FP_NE,equity_TP_NE
children,0.231972222,0.486520468,0.200013889,0.474388889,0.268027778,0.035672515,0.299986111,0.030055556
children,0.211277778,0.472305556,0.226486111,0.523972222,0.288722222,0.040777778,0.273513889,0.049444444
children,0.145877193,0.4685,0.160625,0.496898148,0.362894737,0.036666667,0.339375,0.070231481
children,0.179361111,0.455916667,0.132333333,0.500083333,0.320638889,0.064027778,0.367666667,0.036583333
children,0.179319444,0.495569444,0.202263889,0.49825,0.320680556,0.031708333,0.316902778,0.02125
children,0.267736111,0.510513889,0.194041667,0.505180556,0.233513889,0.035902778,0.305958333,0.046486111
children,0.181861111,0.466041667,0.169125,0.498944444,0.325138889,0.036458333,0.330875,0.054777778
children,0.15880117,0.495774854,0.164055556,0.488464912,0.328040936,0.048435673,0.335944444,0.046447368
children,0.188041667,0.490847222,0.194402778,0.491444444,0.311958333,0.048902778,0.305597222,0.04375
children,0.184777778,0.486319444,0.201388889,0.445916667,0.315222222,0.041875,0.298611111,0.062416667
children,0.131652778,0.496763889,0.171652778,0.480666667,0.368347222,0.069097222,0.328347222,0.040055556
children,0.190458333,0.492836257,0.168638889,0.498361111,0.309541667,0.047397661,0.331361111,0.030861111
children,0.045569444,0.505236111,0.166812865,0.500263889,0.454430556,0.019652778,0.324415205,0.020625
children,0.167402778,0.521569444,0.214777778,0.505736111,0.332597222,0.053486111,0.285222222,0.047736111
children,0.096339869,0.529444444,0.118084795,0.504619883,0.408562092,0.03748538,0.395073099,0.012660819
children,0.110347222,0.498569444,0.105833333,0.482777778,0.389652778,0.043375,0.394166667,0.044239766
children,0.215902778,0.48875,0.196263889,0.492305556,0.284097222,0.04587963,0.303736111,0.032916667
children,0.055888889,0.46425,0.072527778,0.490791667,0.444111111,0.080805556,0.427472222,0.078208333
children,0.249805556,0.499541667,0.163111111,0.528458333,0.250194444,0.020291667,0.336888889,0.054902778
children,0.046569444,0.457731481,0.068833333,0.524692982,0.453430556,0.046990741,0.431166667,0.026447368
children,0.110027778,0.494402778,0.139902778,0.497916667,0.389972222,0.037347222,0.360097222,0.0405
children,0.071916667,0.498972222,0.115958333,0.521444444,0.428083333,0.028305556,0.384041667,0.043638889
children,0.121888889,0.504652778,0.089111111,0.487652778,0.381444444,0.029930556,0.410888889,0.032263889
children,0.052277778,0.489444444,0.058375,0.508625,0.447722222,0.030350877,0.441625,0.023958333
