subid,gender,trial,pool,rate_s,rate_o,choice_raw,outcome_s,outcome_o,conds,party,frame,choice
1111,1,1,120,-2,-1,29,78,81,2,1,2,30
1111,1,2,100,-1,-3,68,50,150,2,1,2,69
1111,1,3,200,-1,-1,100,100,100,2,1,2,101
1111,1,4,90,-3,-1,20,48,74,2,1,2,21
1111,1,5,150,-1,-2,99,75,150,2,1,2,100
1111,1,6,75,-2,-1,25,30,60,2,1,2,26
1111,1,7,90,-1,-3,68,62,84,2,1,2,69
1111,1,8,120,-1,-2,76,80,80,2,1,2,77
1111,1,9,100,-3,-1,22,75,75,2,1,2,23
1111,1,10,75,-1,-2,41,50,50,2,1,2,42
1111,1,11,60,-2,-1,15,40,40,2,1,2,16
1111,1,12,80,-3,-1,19,60,60,2,1,2,20
1111,1,13,150,-2,-1,44,100,100,2,1,2,45
1111,1,14,60,-1,-2,38,40,40,2,1,2,39
1111,1,15,100,-1,-1,48,51,49,2,1,2,49
1111,1,16,40,-1,-3,26,30,30,2,1,2,27
1111,1,17,120,-1,-1,56,60,60,2,1,2,57
1111,1,18,80,-1,-3,59,60,60,2,1,2,60
1111,1,19,40,-3,-1,8,24,32,2,1,2,9
1111,1,20,60,-1,-1,30,30,30,2,1,2,31
1111,1,1,60,1,2,42,46,28,1,1,1,43
1111,1,2,75,2,1,27,90,30,1,1,1,28
1111,1,3,120,1,1,68,60,60,1,1,1,69
1111,1,4,100,1,3,76,76,72,1,1,1,77
1111,1,5,60,1,1,30,30,30,1,1,1,31
1111,1,6,120,1,2,94,80,80,1,1,1,95
1111,1,7,80,1,3,64,60,60,1,1,1,65
1111,1,8,90,3,1,23,72,66,1,1,1,24
1111,1,9,40,1,3,35,30,30,1,1,1,36
1111,1,10,100,1,1,63,50,50,1,1,1,64
1111,1,11,60,2,1,22,60,30,1,1,1,23
1111,1,12,150,1,2,99,90,120,1,1,1,100
1111,1,13,40,3,1,7,60,20,1,1,1,8
1111,1,14,120,2,1,42,80,80,1,1,1,43
1111,1,15,100,3,1,31,90,70,1,1,1,32
1111,1,16,75,1,2,56,50,50,1,1,1,57
1111,1,17,200,1,1,107,100,100,1,1,1,108
1111,1,18,90,1,3,69,70,60,1,1,1,70
1111,1,19,150,2,1,56,150,75,1,1,1,57
1111,1,20,80,3,1,28,60,60,1,1,1,29
1111,1,5,120,-1,-1,59,60,60,4,2,2,60
1111,1,6,90,-1,-3,66,83,21,4,2,2,67
1111,1,7,60,-1,-1,31,30,30,4,2,2,32
1111,1,9,80,-3,-1,19,60,60,4,2,2,20
1111,1,11,100,-3,-1,25,75,75,4,2,2,26
1111,1,12,120,-2,-1,42,80,80,4,2,2,43
1111,1,13,100,-1,-3,76,74,78,4,2,2,77
1111,1,14,150,-2,-1,50,100,100,4,2,2,51
1111,1,16,75,-2,-1,25,54,48,4,2,2,26
1111,1,17,40,-3,-1,11,30,30,4,2,2,12
1111,1,18,120,-1,-2,80,80,80,4,2,2,81
1111,1,19,90,-3,-1,23,63,69,4,2,2,24
1111,1,20,100,-1,-1,53,50,50,4,2,2,54
